"department_id","section_id"
1,1
1,2
2,3
2,4
3,5
4,6
4,7
4,8
5,9
6,10
6,11
7,12
8,13
9,14
9,15
9,16
9,17
9,18
10,19
10,20
11,21
12,22
13,23
13,24
13,25
14,26
15,27
15,28
16,29
17,30
17,31
18,32
19,33
20,34
20,35
21,36
22,37
23,38
24,39
25,40
26,41
26,42
26,43
26,44
26,45
27,46
28,47
29,48
29,49
29,50
29,51
30,52
31,53
32,54
33,55
34,56
35,57
36,58
38,59
37,60
37,61
37,62
37,63
37,64
37,65
37,66
39,67
40,68
42,69
42,70
42,71
43,72
44,73
45,74
46,75
36,76
29,77
36,78
50,79
50,80
51,81
51,82
51,83
51,84
51,85
52,86
53,87
53,88
54,89
55,90
55,91
55,92
55,93
55,94
56,79
56,95
56,96
56,97
57,98
58,79
58,99
58,100
58,101
59,79
59,102
59,103
59,104
60,105
60,106
60,107
60,108
60,109
60,110
60,111
60,112
60,113
61,114
62,79
62,115
62,116
63,79
63,117
63,118
64,119
64,81
65,120
65,121
65,122
66,123
66,124
66,125
66,126
66,127
66,128
66,129
66,130
66,131
66,132
66,133
66,134
66,135
67,136
67,137
67,138
67,139
67,140
67,141
68,142
68,143
68,144
68,145
68,146
68,147
69,148
70,149
70,150
70,151
70,152
70,153
71,154
71,106
71,107
71,155
71,157
70,156
51,158
67,159
70,134
